,p_c,p_m,pop_size,Error
0,0.95,0.03,10.0,216054.60913138065
1,0.95,0.03,20.0,121186.7356638204
2,0.95,0.03,30.0,165883.68734027992
3,0.95,0.03,40.0,127287.09741967033
4,0.95,0.03,50.0,168282.2263413599
5,0.75,0.05,20.0,125510.87443314232
6,0.8,0.05,20.0,72455.07059654674
7,0.85,0.05,20.0,189438.24899578767
8,0.9,0.05,20.0,94736.49248514089
9,0.95,0.05,20.0,123025.5195246628
10,0.8,0.01,20.0,194224.50603697298
11,0.8,0.02,20.0,170732.20516248027
12,0.8,0.03,20.0,174133.45970392707
13,0.8,0.04,20.0,108941.63027067152
14,0.8,0.05,20.0,113098.89641283135
