,p_w,p_c,pop_size,Error
0,0.1,1.3,10,290839.7693538746
1,0.3,1.3,10,256749.26187376646
2,0.5,1.3,10,266980.8689851922
3,0.7,1.3,10,259830.10761800024
4,0.9,1.3,10,282791.1150119913
5,0.3,1.3,40,249333.23626325233
6,0.3,1.5,40,227119.9201673259
7,0.3,1.7,40,257923.47997316153
8,0.3,1.9,40,241249.31760017917
9,0.3,2.1,40,247023.6129316373
10,0.3,1.5,10,259957.89807742802
11,0.3,1.5,20,251769.65685627813
12,0.3,1.5,30,260028.88893446635
13,0.3,1.5,40,253845.71869346336
14,0.3,1.5,50,257879.43664668166
