,p_c,p_m,pop_size,Error
0,0.95,0.02,10.0,201896.63238386274
1,0.95,0.02,20.0,236785.14903638468
2,0.95,0.02,30.0,206870.12180624984
3,0.95,0.02,40.0,179495.19566031353
4,0.95,0.02,50.0,162033.06990415213
5,0.75,0.02,50.0,121013.80481730869
6,0.8,0.02,50.0,166872.78952192055
7,0.85,0.02,50.0,159893.91201189355
8,0.9,0.02,50.0,118476.56827033966
9,0.95,0.02,50.0,119083.62181097406
10,0.9,0.01,50.0,215331.5594409737
11,0.9,0.02,50.0,162641.50879201802
12,0.9,0.03,50.0,111643.0793246198
13,0.9,0.04,50.0,105298.90636352303
14,0.9,0.05,50.0,99760.70020054154
