,p_c,p_m,pop_size,Error
0,0.95,0.01,20.0,394764.8047366533
1,0.95,0.02,20.0,393915.63307048345
2,0.95,0.03,20.0,394933.30008539284
3,0.95,0.04,20.0,395077.79194540763
4,0.95,0.05,20.0,393380.9830168779
5,0.9,0.05,10.0,395864.0128268489
6,0.9,0.05,20.0,394011.56930502405
7,0.9,0.05,30.0,392016.33549829014
8,0.9,0.05,40.0,394420.6336593137
9,0.9,0.05,50.0,394984.13452242955
10,0.75,0.05,30.0,394530.42397408164
11,0.8,0.05,30.0,393312.19877255504
12,0.85,0.05,30.0,395373.0143036224
13,0.9,0.05,30.0,393977.35725389374
14,0.95,0.05,30.0,395570.90660069283
