,p_w,p_c,pop_size,Error
0,0.1,1.7,20.0,294211.008048143
1,0.3,1.7,20.0,278359.54037415335
2,0.5,1.7,20.0,297677.6353648373
3,0.7,1.7,20.0,300774.1767143307
4,0.9,1.7,20.0,297238.9918353289
5,0.3,1.9,10.0,299665.3197284857
6,0.3,1.9,20.0,286750.0468795501
7,0.3,1.9,30.0,301252.9785285005
8,0.3,1.9,40.0,286895.44954633113
9,0.3,1.9,50.0,285473.3024295887
10,0.3,1.3,50.0,285798.40101570834
11,0.3,1.5,50.0,292310.22509288864
12,0.3,1.7,50.0,289996.119741811
13,0.3,1.9,50.0,282648.6745388063
14,0.3,2.1,50.0,272217.885101644
