,p_w,p_c,pop_size,Error
0,0.1,2.1,20.0,301265.53495134535
1,0.3,2.1,20.0,306487.6625619654
2,0.5,2.1,20.0,304350.3859812478
3,0.7,2.1,20.0,285544.1938233384
4,0.9,2.1,20.0,292549.74761621165
5,0.7,1.3,10.0,292132.6081135899
6,0.7,1.3,20.0,284041.27200206695
7,0.7,1.3,30.0,287095.62240603834
8,0.7,1.3,40.0,289455.90333907993
9,0.7,1.3,50.0,277920.0931754782
10,0.7,1.3,50.0,299120.814439254
11,0.7,1.5,50.0,284036.84447923873
12,0.7,1.7,50.0,287346.8730014469
13,0.7,1.9,50.0,281986.57328071195
14,0.7,2.1,50.0,291312.11378091795
