,p_w,p_c,pop_size,Error
0,0.1,2.1,20,264346.07535676274
1,0.3,2.1,20,259242.10135585535
2,0.5,2.1,20,267425.83685199113
3,0.7,2.1,20,266257.67427675443
4,0.9,2.1,20,253021.49852591704
5,0.9,1.3,40,263763.21555814816
6,0.9,1.5,40,268166.2237301353
7,0.9,1.7,40,236633.84437049853
8,0.9,1.9,40,250919.71806963428
9,0.9,2.1,40,246869.43796658242
10,0.9,1.7,10,257861.55812138843
11,0.9,1.7,20,271462.90051518957
12,0.9,1.7,30,261743.13857432848
13,0.9,1.7,40,267406.9130603691
14,0.9,1.7,50,266660.0644498893
