,p_w,p_c,pop_size,Error
0,0.3,1.9,50.0,29726.336446890084
1,0.7,1.9,50.0,31225.88961684323
2,0.3,2.1,50.0,31830.82619321234
3,0.7,1.3,40.0,32995.32169083748
4,0.9,1.7,30.0,33424.84585158461
5,0.7,1.3,20.0,32271.397699671674
6,0.3,2.1,30.0,34109.3339512468
7,0.7,1.5,40.0,31642.13049070903
8,0.5,1.9,50.0,31239.84128319224
9,0.1,1.9,50.0,31416.865886278683
