,p_w,p_c,pop_size,Error
0,0.1,1.5,50,251177.26978400306
1,0.3,1.5,50,257504.56567987817
2,0.5,1.5,50,249871.30766112384
3,0.7,1.5,50,253716.07888612433
4,0.9,1.5,50,249616.06603582107
5,0.9,1.3,30,240631.95111292094
6,0.9,1.5,30,253232.7424921318
7,0.9,1.7,30,230623.11789357188
8,0.9,1.9,30,269542.1897135254
9,0.9,2.1,30,252671.96114595825
10,0.9,1.7,10,275092.4586870664
11,0.9,1.7,20,260277.37906562106
12,0.9,1.7,30,255245.27948084255
13,0.9,1.7,40,256944.39743466373
14,0.9,1.7,50,250543.83056870126
