,p_w,p_c,pop_size,Error
0,0.1,1.5,10.0,398517.1952772264
1,0.1,1.5,20.0,396907.11752862064
2,0.1,1.5,30.0,396238.69611728983
3,0.1,1.5,40.0,397526.4116085236
4,0.1,1.5,50.0,397032.1511781576
5,0.9,1.3,30.0,398771.3677299795
6,0.9,1.5,30.0,397070.3149688657
7,0.9,1.7,30.0,396065.70734307007
8,0.9,1.9,30.0,396903.63309974514
9,0.9,2.1,30.0,398190.72397936444
10,0.1,1.7,30.0,398527.50098597025
11,0.3,1.7,30.0,396705.3150492746
12,0.5,1.7,30.0,398258.74720471737
13,0.7,1.7,30.0,398921.35919137084
14,0.9,1.7,30.0,396804.2839549165
