,p_c,p_m,pop_size,Error
0,0.95,0.05,10.0,397106.6395612873
1,0.95,0.05,20.0,395131.65680316393
2,0.95,0.05,30.0,392346.3854622583
3,0.95,0.05,40.0,393449.1256276439
4,0.95,0.05,50.0,393374.05480071704
5,0.75,0.01,30.0,396214.2216778303
6,0.75,0.02,30.0,396839.9612961404
7,0.75,0.03,30.0,394340.46620722726
8,0.75,0.04,30.0,395031.46560460224
9,0.75,0.05,30.0,394192.3680800957
10,0.75,0.05,30.0,393883.32305296126
11,0.8,0.05,30.0,394509.8416118443
12,0.85,0.05,30.0,393268.7502015792
13,0.9,0.05,30.0,395220.92120369175
14,0.95,0.05,30.0,394648.7833200196
