,p_w,p_c,pop_size,Error
0,0.1,1.9,50,252218.1983071054
1,0.3,1.9,50,255874.4770172523
2,0.5,1.9,50,260802.9302724601
3,0.7,1.9,50,251591.04793875947
4,0.9,1.9,50,246739.1292488944
5,0.9,1.3,30,262710.5534825246
6,0.9,1.5,30,257639.0125011083
7,0.9,1.7,30,259951.07540462897
8,0.9,1.9,30,258089.9403907162
9,0.9,2.1,30,268256.21924762434
10,0.9,1.5,10,296056.51241650234
11,0.9,1.5,20,282582.61463124753
12,0.9,1.5,30,251104.39104598868
13,0.9,1.5,40,254426.219297195
14,0.9,1.5,50,253029.03955387013
