,p_w,p_c,pop_size,Error
0,0.1,1.5,40.0,288832.8895043277
1,0.3,1.5,40.0,284507.0289972491
2,0.5,1.5,40.0,286995.0670168109
3,0.7,1.5,40.0,281639.6612791965
4,0.9,1.5,40.0,296296.6584464547
5,0.7,1.7,10.0,298554.8631228406
6,0.7,1.7,20.0,278706.04317237716
7,0.7,1.7,30.0,282129.1667749155
8,0.7,1.7,40.0,285143.69088981
9,0.7,1.7,50.0,296030.7311849976
10,0.7,1.3,20.0,277059.52558089304
11,0.7,1.5,20.0,299006.4182133613
12,0.7,1.7,20.0,282635.89711088885
13,0.7,1.9,20.0,309037.0983719549
14,0.7,2.1,20.0,303367.19497687626
