,0
0,0.015611110566516612
1,0.015610250373789783
2,0.015576092837954249
3,0.015609358798957668
4,0.015643665968837116
5,0.015566667892697172
6,0.015621406184803085
7,0.015621406184803085
8,0.01556151267538102
9,0.01556151267538102
10,0.015351020479044129
11,0.015442579417340029
12,0.015350965063825567
13,0.015351005214454141
14,0.015351046151734571
15,0.015460204093645964
16,0.015481982022598727
17,0.015485597528448906
18,0.015351073653440248
19,0.015350941975686792
20,0.015333301256345949
21,0.015331831251315134
22,0.015334256687925788
23,0.015334256687925788
24,0.015309235604009718
25,0.015536754609920137
26,0.015310350783915409
27,0.015316720213402774
28,0.01542796734796425
29,0.015632837630070066
30,0.015332071784593537
31,0.015257452422209309
32,0.015468371099588171
33,0.015468377315184061
34,0.015468374907918261
35,0.015464041173328424
36,0.015274462973243917
37,0.015274467772591345
38,0.015274468160751854
39,0.015270587354527585
40,0.015282127388136663
41,0.015400730872092833
42,0.015233836571319114
43,0.01524299443966674
44,0.01521298940165061
45,0.015100364710161789
46,0.015087422049544877
47,0.015205127711999587
48,0.015137465807406675
49,0.015210503195732854
50,0.0151485464226571
51,0.01523364119712862
52,0.015270310209235721
53,0.015270462539368401
54,0.015360526539693812
55,0.015284617275820289
56,0.015375403880620983
57,0.015292372409784427
58,0.015219314705087267
59,0.01528379377088112
60,0.015232797078258656
61,0.015232797078258656
62,0.015211613024580475
63,0.015216586025206086
64,0.015237339073249508
65,0.015246453828482507
66,0.015277054524474743
67,0.01526597571886355
68,0.01526547807106374
69,0.015341531287217025
70,0.015315945615303512
71,0.015319441929142724
72,0.015322855028932563
73,0.015349383623955945
74,0.015335936342015131
75,0.015331016048553147
76,0.01535232707320834
77,0.015400158411773763
78,0.015463679145891434
79,0.015486356800756476
80,0.015503791812272112
81,0.01550612780095633
82,0.015504217890828044
83,0.015490998607437452
84,0.015490998607437452
85,0.015448133375896676
86,0.015448133375896676
87,0.01543041223723042
88,0.01543041223723042
89,0.015677188872871946
90,0.015372375561876588
91,0.015464681419318276
92,0.015379113444623905
93,0.015359892716058495
94,0.015374673173482964
95,0.015296090342661339
96,0.01541546292310421
97,0.015323808877534002
98,0.015349899932101625
99,0.015613413322918825
100,0.01561575791426742
