,p_c,p_m,pop_size,Error
0,0.75,0.05,20.0,332.80601713605677
1,0.8,0.05,20.0,389.61354884577065
2,0.85,0.05,20.0,334.43919776234054
3,0.9,0.05,20.0,376.2814868796469
4,0.95,0.05,20.0,384.8647163425817
5,0.75,0.02,10.0,418.581713036229
6,0.75,0.02,20.0,402.581866730107
7,0.75,0.02,30.0,408.6773667323976
8,0.75,0.02,40.0,397.938013138383
9,0.75,0.02,50.0,368.5371414670336
10,0.75,0.01,50.0,406.6923631554864
11,0.75,0.02,50.0,352.59313215108693
12,0.75,0.03,50.0,395.07321419972067
13,0.75,0.04,50.0,374.9984869050493
14,0.75,0.05,50.0,278.57585389117844
