,p_w,p_c,pop_size,Error
0,0.3,2.1,10.0,378.58706138077247
1,0.3,2.1,20.0,372.6286787400542
2,0.3,2.1,30.0,374.96919613163914
3,0.3,2.1,40.0,367.3536351752439
4,0.3,2.1,50.0,374.0617294004517
5,0.1,1.9,40.0,369.85993934043523
6,0.3,1.9,40.0,386.3343254567859
7,0.5,1.9,40.0,382.2749029109046
8,0.7,1.9,40.0,378.8380750576107
9,0.9,1.9,40.0,364.03658104432793
10,0.9,1.3,40.0,374.35573074511467
11,0.9,1.5,40.0,376.1504535349351
12,0.9,1.7,40.0,384.15150407150367
13,0.9,1.9,40.0,366.847548179406
14,0.9,2.1,40.0,375.58991645111644
