,p_c,p_m,pop_size,Error
0,0.75,0.05,50.0,352.8008554017442
1,0.8,0.05,50.0,328.3402815201373
2,0.85,0.05,50.0,300.1337866571815
3,0.9,0.05,50.0,335.7876876070238
4,0.95,0.05,50.0,372.10451524510927
5,0.85,0.01,10.0,404.35461282376394
6,0.85,0.01,20.0,411.5092927781849
7,0.85,0.01,30.0,414.49254728865606
8,0.85,0.01,40.0,391.6918981872019
9,0.85,0.01,50.0,417.4378449294725
10,0.85,0.01,40.0,412.5133803264242
11,0.85,0.02,40.0,387.46013916883476
12,0.85,0.03,40.0,397.5880750714439
13,0.85,0.04,40.0,353.120806506804
14,0.85,0.05,40.0,362.108310393352
