,p_c,p_m,pop_size,Error
0,0.8,0.01,50,277.62951395153635
1,0.8,0.02,50,352.8490905047443
2,0.8,0.03,50,251.80455433393067
3,0.8,0.04,50,299.4257879358564
4,0.8,0.05,50,311.28369448284957
5,0.75,0.03,30,327.52817339085385
6,0.8,0.03,30,159.64876292209334
7,0.85,0.03,30,302.23042101510697
8,0.9,0.03,30,346.71648172807215
9,0.95,0.03,30,334.619302335779
10,0.8,0.03,10,291.42455543630035
11,0.8,0.03,20,298.07998771620464
12,0.8,0.03,30,248.29966036560162
13,0.8,0.03,40,259.2313749431786
14,0.8,0.03,50,296.99916098018286
