,p_w,p_c,pop_size,Error
0,0.3,1.7,10.0,377.13618410375943
1,0.3,1.7,20.0,388.45349133041714
2,0.3,1.7,30.0,366.37844392097816
3,0.3,1.7,40.0,365.1275446360116
4,0.3,1.7,50.0,373.34792456324976
5,0.1,1.5,40.0,377.2810849438453
6,0.3,1.5,40.0,377.24780236007445
7,0.5,1.5,40.0,380.6468772947571
8,0.7,1.5,40.0,380.4766384363122
9,0.9,1.5,40.0,377.8799862229265
10,0.3,1.3,40.0,367.31667996527744
11,0.3,1.5,40.0,373.2741436093285
12,0.3,1.7,40.0,382.2706285728933
13,0.3,1.9,40.0,387.3855658892835
14,0.3,2.1,40.0,378.5616734710614
