,p_w,p_c,pop_size,Error
0,0.9,1.5,10.0,377.1651611026514
1,0.9,1.5,20.0,379.14758724242796
2,0.9,1.5,30.0,365.13691063482173
3,0.9,1.5,40.0,371.0579288708239
4,0.9,1.5,50.0,379.61233682931464
5,0.1,1.9,30.0,384.6399568061375
6,0.3,1.9,30.0,379.63196964396866
7,0.5,1.9,30.0,376.51258885179595
8,0.7,1.9,30.0,381.97639071870316
9,0.9,1.9,30.0,382.8391347910871
10,0.5,1.3,30.0,372.72018300340073
11,0.5,1.5,30.0,379.8358655361856
12,0.5,1.7,30.0,375.3381869803588
13,0.5,1.9,30.0,372.5348980627746
14,0.5,2.1,30.0,370.1190511458941
