,p_c,p_m,pop_size,Error
0,0.75,0.04,20,152.28483856896463
1,0.8,0.04,20,287.0945693750899
2,0.85,0.04,20,347.53521671849694
3,0.9,0.04,20,338.3377010807194
4,0.95,0.04,20,292.22447864228144
5,0.75,0.01,10,361.586267659075
6,0.75,0.02,10,364.04034218550055
7,0.75,0.03,10,370.09654472990655
8,0.75,0.04,10,331.5971325726289
9,0.75,0.05,10,303.22878773429807
10,0.75,0.05,10,234.35462995702798
11,0.75,0.05,20,351.5996249260949
12,0.75,0.05,30,338.3061679448084
13,0.75,0.05,40,313.0180860031227
14,0.75,0.05,50,298.4684987770115
