,p_w,p_c,pop_size,Error
0,0.7,1.7,10.0,426.5902881191868
1,0.7,1.7,20.0,422.4935409559116
2,0.7,1.7,30.0,415.9122807633199
3,0.7,1.7,40.0,428.79987751667085
4,0.7,1.7,50.0,421.7084117276561
5,0.9,1.3,30.0,424.85119360400705
6,0.9,1.5,30.0,420.0487534862981
7,0.9,1.7,30.0,428.49517274620416
8,0.9,1.9,30.0,427.3217432077441
9,0.9,2.1,30.0,425.4115936513622
10,0.1,1.5,30.0,419.39742887245393
11,0.3,1.5,30.0,429.0679479060798
12,0.5,1.5,30.0,421.402406014964
13,0.7,1.5,30.0,426.05710383726813
14,0.9,1.5,30.0,424.1527373398348
