,p_w,p_c,pop_size,Error
0,0.9,1.5,10.0,377.51738188098227
1,0.9,1.5,20.0,381.8138582148303
2,0.9,1.5,30.0,376.49493161611326
3,0.9,1.5,40.0,363.7971772297834
4,0.9,1.5,50.0,370.835543795642
5,0.1,1.9,40.0,369.3134577826107
6,0.3,1.9,40.0,373.04942640696606
7,0.5,1.9,40.0,379.00669954186617
8,0.7,1.9,40.0,372.6079734432751
9,0.9,1.9,40.0,379.3952450978039
10,0.1,1.3,40.0,380.32385419019374
11,0.1,1.5,40.0,373.15904732667843
12,0.1,1.7,40.0,367.2347171394636
13,0.1,1.9,40.0,371.14001700108065
14,0.1,2.1,40.0,371.6223987578377
