,p_w,p_c,pop_size,Error
0,0.5,1.3,40,134.48351416114542
1,0.5,1.5,40,211.76136078057806
2,0.5,1.7,40,163.04581279937068
3,0.5,1.9,40,122.07625693896165
4,0.5,2.1,40,189.8980921066754
5,0.1,1.9,40,180.13257411690137
6,0.3,1.9,40,116.4172461184956
7,0.5,1.9,40,168.6541416846383
8,0.7,1.9,40,155.39863553628282
9,0.9,1.9,40,164.54642835223072
10,0.3,1.9,10,108.61593783681583
11,0.3,1.9,20,147.16161215124535
12,0.3,1.9,30,181.7892231058918
13,0.3,1.9,40,166.17028104575283
14,0.3,1.9,50,135.32762398933158
