,p_c,p_m,pop_size,Error
0,0.95,0.04,10.0,77.76252850681817
1,0.95,0.04,20.0,70.74616975614195
2,0.95,0.04,30.0,64.38032592352029
3,0.95,0.04,40.0,60.37920447997829
4,0.95,0.04,50.0,61.13005181518433
5,0.75,0.04,40.0,61.743759756466204
6,0.8,0.04,40.0,61.886166652746844
7,0.85,0.04,40.0,61.33408240678466
8,0.9,0.04,40.0,61.73111336747263
9,0.95,0.04,40.0,58.49485076534488
10,0.95,0.01,40.0,64.84130773359605
11,0.95,0.02,40.0,62.02368371902677
12,0.95,0.03,40.0,62.822431829312336
13,0.95,0.04,40.0,60.185405009027406
14,0.95,0.05,40.0,60.56140484683579
