,p_w,p_c,pop_size,Error
0,0.9,1.3,10.0,373.1828672699452
1,0.9,1.3,20.0,402.9873316901986
2,0.9,1.3,30.0,384.8538172497216
3,0.9,1.3,40.0,388.9572125241029
4,0.9,1.3,50.0,361.8545014863303
5,0.1,2.1,50.0,373.5798885511032
6,0.3,2.1,50.0,367.08759268719416
7,0.5,2.1,50.0,376.4335534323698
8,0.7,2.1,50.0,378.0470353992043
9,0.9,2.1,50.0,367.13605813093926
10,0.3,1.3,50.0,369.6198657027019
11,0.3,1.5,50.0,370.7514714021837
12,0.3,1.7,50.0,382.62691161280816
13,0.3,1.9,50.0,375.9755899183465
14,0.3,2.1,50.0,368.5051636212289
