,p_c,p_m,pop_size,Error
0,0.75,0.03,10,345.7692052255756
1,0.8,0.03,10,354.2304096676202
2,0.85,0.03,10,301.0370134225111
3,0.9,0.03,10,348.2929173614932
4,0.95,0.03,10,354.7176681815272
5,0.85,0.01,20,363.8694786589047
6,0.85,0.02,20,313.61533090073146
7,0.85,0.03,20,304.6737878864278
8,0.85,0.04,20,266.00420507546255
9,0.85,0.05,20,222.27516758687545
10,0.85,0.05,10,343.0376266700997
11,0.85,0.05,20,210.80783294112246
12,0.85,0.05,30,344.53537486997186
13,0.85,0.05,40,305.3783217852856
14,0.85,0.05,50,117.03704976515729
