,p_c,p_m,pop_size,Error
0,0.75,0.04,50,328.54974884148464
1,0.8,0.04,50,335.87440615136626
2,0.85,0.04,50,345.5774165036763
3,0.9,0.04,50,328.74025478475335
4,0.95,0.04,50,298.3729183667579
5,0.95,0.01,10,363.15973585708076
6,0.95,0.02,10,361.0106897274962
7,0.95,0.03,10,361.52106942774554
8,0.95,0.04,10,313.56607846160375
9,0.95,0.05,10,352.2667294578581
10,0.95,0.04,10,350.2774178139523
11,0.95,0.04,20,360.9493241232591
12,0.95,0.04,30,341.11932834921873
13,0.95,0.04,40,310.50207905106
14,0.95,0.04,50,341.3269325381525
