,p_w,p_c,pop_size,Error
0,0.9,1.3,20,120.02116553508415
1,0.9,1.5,20,169.81766957901988
2,0.9,1.7,20,108.56785921703762
3,0.9,1.9,20,132.08639560178932
4,0.9,2.1,20,168.64655385976397
5,0.1,1.7,10,186.84892101975956
6,0.3,1.7,10,114.21527199521591
7,0.5,1.7,10,208.6151187624332
8,0.7,1.7,10,183.11002953818692
9,0.9,1.7,10,149.3655659316017
10,0.3,1.7,10,176.6361944274657
11,0.3,1.7,20,149.41899346758237
12,0.3,1.7,30,213.57685251459384
13,0.3,1.7,40,126.9860642910877
14,0.3,1.7,50,120.62972127397605
