,p_w,p_c,pop_size,Error
0,0.3,1.3,30,194.31732919792015
1,0.3,1.5,30,146.71047834497367
2,0.3,1.7,30,150.12366824568053
3,0.3,1.9,30,136.26257725842981
4,0.3,2.1,30,156.35106168839516
5,0.1,1.9,20,197.25149229619913
6,0.3,1.9,20,178.46962634634434
7,0.5,1.9,20,149.1835551838856
8,0.7,1.9,20,206.0007559069291
9,0.9,1.9,20,243.52036962407254
10,0.5,1.9,10,246.8454591495434
11,0.5,1.9,20,162.77994167865768
12,0.5,1.9,30,160.95366067869367
13,0.5,1.9,40,163.7685568539924
14,0.5,1.9,50,137.24812836206203
