,p_c,p_m,pop_size,Error
0,0.75,0.05,20,321.88580178742944
1,0.8,0.05,20,349.53933963201
2,0.85,0.05,20,209.92417970991525
3,0.9,0.05,20,300.0491059886883
4,0.95,0.05,20,344.93280695351507
5,0.85,0.01,20,372.8901806452098
6,0.85,0.02,20,351.79226849579896
7,0.85,0.03,20,334.22744943658313
8,0.85,0.04,20,269.472245348092
9,0.85,0.05,20,265.3580382385826
10,0.85,0.05,10,334.398355097972
11,0.85,0.05,20,241.20365797897014
12,0.85,0.05,30,166.004081784858
13,0.85,0.05,40,335.4741118469067
14,0.85,0.05,50,238.97987711621914
