,p_w,p_c,pop_size,Error
0,0.1,1.9,10.0,428.73678161585394
1,0.1,1.9,20.0,431.11110373134966
2,0.1,1.9,30.0,422.9025765659778
3,0.1,1.9,40.0,422.73052582394564
4,0.1,1.9,50.0,420.93740192683225
5,0.1,1.3,50.0,410.4483351195569
6,0.1,1.5,50.0,419.75295029399524
7,0.1,1.7,50.0,424.3574206608016
8,0.1,1.9,50.0,419.41015830958514
9,0.1,2.1,50.0,421.5395063668657
10,0.1,1.3,50.0,426.59844381594144
11,0.3,1.3,50.0,426.43863803949716
12,0.5,1.3,50.0,414.35197375757116
13,0.7,1.3,50.0,418.84698487471434
14,0.9,1.3,50.0,427.0593066179285
