,p_c,p_m,pop_size,Error
0,0.75,0.02,50.0,405.2400297322041
1,0.8,0.02,50.0,410.6340068116262
2,0.85,0.02,50.0,389.68679815747186
3,0.9,0.02,50.0,318.00584787682436
4,0.95,0.02,50.0,378.74731230333236
5,0.9,0.02,10.0,420.55457759645026
6,0.9,0.02,20.0,384.4788845364757
7,0.9,0.02,30.0,367.89617349004095
8,0.9,0.02,40.0,399.81234708803447
9,0.9,0.02,50.0,396.6962224861988
10,0.9,0.01,30.0,379.85446763291014
11,0.9,0.02,30.0,397.64016744602566
12,0.9,0.03,30.0,386.51103984189865
13,0.9,0.04,30.0,341.4111960750955
14,0.9,0.05,30.0,374.25782964299833
