,p_c,p_m,pop_size,Error
0,0.85,0.01,20,58.75719110247154
1,0.85,0.02,20,58.0438432736034
2,0.85,0.03,20,58.572735036806755
3,0.85,0.04,20,58.181014769138756
4,0.85,0.05,20,57.62516543856133
5,0.75,0.05,50,58.050643327524924
6,0.8,0.05,50,57.418486247260404
7,0.85,0.05,50,57.73079794644765
8,0.9,0.05,50,56.87734101905834
9,0.95,0.05,50,57.13941886064439
10,0.9,0.05,10,57.52235392736576
11,0.9,0.05,20,57.02794460115877
12,0.9,0.05,30,57.326262213006956
13,0.9,0.05,40,57.45135512966239
14,0.9,0.05,50,57.1734822828576
