,p_c,p_m,pop_size,Error
0,0.95,0.05,10.0,28.116481172944372
1,0.95,0.05,20.0,0.9600344796266127
2,0.95,0.05,30.0,0.9092679628521877
3,0.95,0.05,40.0,0.09771261914381488
4,0.95,0.05,50.0,0.012637130727847749
5,0.9,0.01,50.0,4.349746746526462
6,0.9,0.02,50.0,0.6301490569956398
7,0.9,0.03,50.0,1.0598027349103356
8,0.9,0.04,50.0,0.34310107174447907
9,0.9,0.05,50.0,0.15767747608883093
10,0.75,0.05,50.0,0.4033000019253416
11,0.8,0.05,50.0,0.20523644824888843
12,0.85,0.05,50.0,0.5085860797402004
13,0.9,0.05,50.0,0.0898053229852699
14,0.95,0.05,50.0,0.05353345105197136
