,p_c,p_m,pop_size,Error
0,0.85,0.01,50.0,54.91055283206931
1,0.85,0.02,50.0,49.358288654214476
2,0.85,0.03,50.0,54.388798502849724
3,0.85,0.04,50.0,52.87324540419835
4,0.85,0.05,50.0,52.670840579765425
5,0.75,0.02,10.0,56.146810337943116
6,0.75,0.02,20.0,55.751279270143186
7,0.75,0.02,30.0,55.28347194285186
8,0.75,0.02,40.0,53.04923396170527
9,0.75,0.02,50.0,53.29615789765813
10,0.75,0.02,40.0,56.01773756404815
11,0.8,0.02,40.0,54.572375394687626
12,0.85,0.02,40.0,54.538616855786586
13,0.9,0.02,40.0,53.090817980192845
14,0.95,0.02,40.0,54.278269893771395
