,p_w,p_c,pop_size,Error
0,0.5,1.5,10.0,57.38774826374337
1,0.5,1.5,20.0,56.91224715375088
2,0.5,1.5,30.0,56.844071660532514
3,0.5,1.5,40.0,56.81242531326531
4,0.5,1.5,50.0,56.78610926571963
5,0.3,1.3,50.0,57.020513901912686
6,0.3,1.5,50.0,56.312484542869754
7,0.3,1.7,50.0,56.923532093814664
8,0.3,1.9,50.0,56.1830318576771
9,0.3,2.1,50.0,56.857074797947014
10,0.1,1.9,50.0,56.19650603927888
11,0.3,1.9,50.0,57.00960535989729
12,0.5,1.9,50.0,56.887943183787385
13,0.7,1.9,50.0,56.66155784673238
14,0.9,1.9,50.0,56.42777816498863
