,p_c,p_m,pop_size,Error
0,0.8,0.02,10.0,25.139905547043337
1,0.8,0.02,20.0,3.759323556002379
2,0.8,0.02,30.0,10.5564355368753
3,0.8,0.02,40.0,1.8433025190831491
4,0.8,0.02,50.0,0.206640676000902
5,0.9,0.01,50.0,9.431043402529543
6,0.9,0.02,50.0,2.488259939746315
7,0.9,0.03,50.0,1.0754148393259961
8,0.9,0.04,50.0,0.38902256171372485
9,0.9,0.05,50.0,0.18603883925338507
10,0.75,0.05,50.0,0.04088509380946171
11,0.8,0.05,50.0,0.3784521929767374
12,0.85,0.05,50.0,0.13635600441985596
13,0.9,0.05,50.0,0.09662814058552452
14,0.95,0.05,50.0,0.17557169583936622
