,p_w,p_c,pop_size,Error
0,0.3,1.5,10.0,57.6928807324266
1,0.3,1.5,20.0,57.329452183554736
2,0.3,1.5,30.0,55.45094381755054
3,0.3,1.5,40.0,56.93464437284189
4,0.3,1.5,50.0,56.20787823244958
5,0.7,1.3,30.0,56.431151322613715
6,0.7,1.5,30.0,57.29492570056132
7,0.7,1.7,30.0,56.32742841678733
8,0.7,1.9,30.0,56.51827334802856
9,0.7,2.1,30.0,56.00506599132467
10,0.1,2.1,30.0,56.626274448555506
11,0.3,2.1,30.0,56.93783893090916
12,0.5,2.1,30.0,55.803974852691525
13,0.7,2.1,30.0,56.60651726405982
14,0.9,2.1,30.0,56.90277967336096
