,p_w,p_c,pop_size,Error
0,0.3,1.5,10.0,58.43157807156787
1,0.3,1.5,20.0,58.29103367125102
2,0.3,1.5,30.0,58.09072202859051
3,0.3,1.5,40.0,58.291155462787145
4,0.3,1.5,50.0,58.0585645880249
5,0.3,1.3,50.0,58.1083375415474
6,0.3,1.5,50.0,58.40532731963015
7,0.3,1.7,50.0,58.2132112000691
8,0.3,1.9,50.0,58.20757469309556
9,0.3,2.1,50.0,58.2219947064365
10,0.1,1.3,50.0,58.32045658478994
11,0.3,1.3,50.0,58.45471463894748
12,0.5,1.3,50.0,58.15988755356038
13,0.7,1.3,50.0,58.23329359598085
14,0.9,1.3,50.0,58.31973708454811
