,p_w,p_c,pop_size,Error
0,0.1,1.9,20,64.46908177994615
1,0.3,1.9,20,47.66053391113155
2,0.5,1.9,20,51.06748353263069
3,0.7,1.9,20,59.286563431300635
4,0.9,1.9,20,75.69836846146582
5,0.3,1.3,40,36.524411439840264
6,0.3,1.5,40,51.290327944889846
7,0.3,1.7,40,62.454765819092884
8,0.3,1.9,40,61.438513455905834
9,0.3,2.1,40,50.616779189700296
10,0.3,1.3,10,69.17895710477815
11,0.3,1.3,20,68.88700141330824
12,0.3,1.3,30,54.845718479706335
13,0.3,1.3,40,58.76304344437277
14,0.3,1.3,50,49.143376137251934
