,p_c,p_m,pop_size,Error
0,0.9,0.03,10.0,58.20619678118641
1,0.9,0.03,20.0,53.44642076075481
2,0.9,0.03,30.0,53.840682996788956
3,0.9,0.03,40.0,54.79007500149234
4,0.9,0.03,50.0,51.812591739431426
5,0.75,0.03,50.0,54.86946500265772
6,0.8,0.03,50.0,49.61120849261648
7,0.85,0.03,50.0,50.818689250240766
8,0.9,0.03,50.0,53.673241958873675
9,0.95,0.03,50.0,54.48254620462532
10,0.8,0.01,50.0,56.484982238338986
11,0.8,0.02,50.0,54.27134642268988
12,0.8,0.03,50.0,53.44290217883394
13,0.8,0.04,50.0,56.05281749996945
14,0.8,0.05,50.0,53.437860542844646
