,p_w,p_c,pop_size,Error
0,0.3,1.9,10.0,56.245562174647866
1,0.3,1.9,20.0,57.150493922068534
2,0.3,1.9,30.0,56.884908992401805
3,0.3,1.9,40.0,55.936383817616615
4,0.3,1.9,50.0,55.91570297108877
5,0.9,1.3,50.0,56.4306648491882
6,0.9,1.5,50.0,56.667077130830435
7,0.9,1.7,50.0,56.71168077256312
8,0.9,1.9,50.0,57.21813410158909
9,0.9,2.1,50.0,56.42731372949836
10,0.1,2.1,50.0,57.1609294573492
11,0.3,2.1,50.0,56.74752395615735
12,0.5,2.1,50.0,56.98186383761275
13,0.7,2.1,50.0,56.40537303988938
14,0.9,2.1,50.0,56.487126919642705
