,p_w,p_c,pop_size,Error
0,0.9,1.7,10.0,57.342547612822486
1,0.9,1.7,20.0,57.19390872019774
2,0.9,1.7,30.0,57.300069450445314
3,0.9,1.7,40.0,56.985191690868845
4,0.9,1.7,50.0,56.0727467785203
5,0.9,1.3,50.0,56.7310373816015
6,0.9,1.5,50.0,57.03065538018897
7,0.9,1.7,50.0,57.18382624471123
8,0.9,1.9,50.0,57.219162683656556
9,0.9,2.1,50.0,56.88408909509605
10,0.1,1.3,50.0,56.946400839239345
11,0.3,1.3,50.0,57.12299251220784
12,0.5,1.3,50.0,57.06379681324567
13,0.7,1.3,50.0,56.082501821413246
14,0.9,1.3,50.0,56.59892654827829
