,p_c,p_m,pop_size,Error
0,0.8,0.02,10.0,11.169008710070354
1,0.8,0.02,20.0,7.061091684671822
2,0.8,0.02,30.0,1.2031768277460098
3,0.8,0.02,40.0,0.5018764191866297
4,0.8,0.02,50.0,5.130297354710505
5,0.9,0.01,40.0,11.564880381690617
6,0.9,0.02,40.0,2.946636304184246
7,0.9,0.03,40.0,2.4631316832500523
8,0.9,0.04,40.0,0.024249069972419563
9,0.9,0.05,40.0,0.043348211585976654
10,0.75,0.04,40.0,0.5325504616096717
11,0.8,0.04,40.0,0.09073516233317448
12,0.85,0.04,40.0,0.035060346959708784
13,0.9,0.04,40.0,0.30725465108465494
14,0.95,0.04,40.0,0.4987950310597411
