,p_c,p_m,pop_size,Error
0,0.95,0.04,10.0,45.28977613004942
1,0.95,0.04,20.0,9.247664287896107
2,0.95,0.04,30.0,0.09565442424913874
3,0.95,0.04,40.0,0.22747352943018317
4,0.95,0.04,50.0,0.39296241332757165
5,0.8,0.01,30.0,12.924996921968257
6,0.8,0.02,30.0,9.477110148963318
7,0.8,0.03,30.0,2.540315680584869
8,0.8,0.04,30.0,6.161002235695711
9,0.8,0.05,30.0,0.8931707691848425
10,0.75,0.05,30.0,9.37421976289762
11,0.8,0.05,30.0,2.4191389992737093
12,0.85,0.05,30.0,0.15281817632530353
13,0.9,0.05,30.0,8.913791455866408
14,0.95,0.05,30.0,0.5375432737528537
