,p_w,p_c,pop_size,Error
0,0.1,1.9,10.0,57.34167084171245
1,0.1,1.9,20.0,57.229813343978215
2,0.1,1.9,30.0,55.97613721520773
3,0.1,1.9,40.0,56.956724337050815
4,0.1,1.9,50.0,56.94185952369118
5,0.1,1.3,30.0,57.43942335180861
6,0.1,1.5,30.0,57.029159825878445
7,0.1,1.7,30.0,56.78672829145475
8,0.1,1.9,30.0,56.498874016441086
9,0.1,2.1,30.0,56.25522866817356
10,0.1,2.1,30.0,57.136623504382655
11,0.3,2.1,30.0,57.04913413937693
12,0.5,2.1,30.0,56.89454819683127
13,0.7,2.1,30.0,56.285427009976935
14,0.9,2.1,30.0,57.02395856028851
