,p_w,p_c,pop_size,Error
0,0.9,2.1,10.0,57.65007176321152
1,0.9,2.1,20.0,56.34227910527308
2,0.9,2.1,30.0,55.98597924600457
3,0.9,2.1,40.0,56.60605453165793
4,0.9,2.1,50.0,56.93299520160405
5,0.1,1.3,30.0,57.00287034531809
6,0.1,1.5,30.0,56.090813212039855
7,0.1,1.7,30.0,56.13615820009716
8,0.1,1.9,30.0,57.18059230559085
9,0.1,2.1,30.0,56.64068437462209
10,0.1,1.5,30.0,56.410931721117784
11,0.3,1.5,30.0,56.98392194762964
12,0.5,1.5,30.0,57.2654620224565
13,0.7,1.5,30.0,56.861386878280996
14,0.9,1.5,30.0,56.2841508702498
