,p_c,p_m,pop_size,Error
0,0.95,0.03,10.0,57.3315834591942
1,0.95,0.03,20.0,57.04696412947828
2,0.95,0.03,30.0,56.75444211260569
3,0.95,0.03,40.0,57.03680720772263
4,0.95,0.03,50.0,56.81010640315818
5,0.95,0.01,30.0,57.09872773667743
6,0.95,0.02,30.0,56.89674207309493
7,0.95,0.03,30.0,55.521696109506436
8,0.95,0.04,30.0,56.42561998155643
9,0.95,0.05,30.0,56.99524064493035
10,0.75,0.03,30.0,56.941574511025934
11,0.8,0.03,30.0,56.978573053311145
12,0.85,0.03,30.0,57.02965980584669
13,0.9,0.03,30.0,57.03740030422146
14,0.95,0.03,30.0,56.14791090017004
