,p_w,p_c,pop_size,Error
0,0.9,2.1,10.0,57.12695369985418
1,0.9,2.1,20.0,57.29661935434739
2,0.9,2.1,30.0,57.01310760349381
3,0.9,2.1,40.0,57.711704921023895
4,0.9,2.1,50.0,57.28780315974302
5,0.5,1.3,30.0,57.26929517728376
6,0.5,1.5,30.0,57.43460256443852
7,0.5,1.7,30.0,57.25754320025767
8,0.5,1.9,30.0,57.20628105482327
9,0.5,2.1,30.0,57.099618982555384
10,0.1,2.1,30.0,57.10529058510898
11,0.3,2.1,30.0,57.19621503685662
12,0.5,2.1,30.0,57.00644859542254
13,0.7,2.1,30.0,57.25081692793034
14,0.9,2.1,30.0,57.37899732676147
