,p_w,p_c,pop_size,Error
0,0.3,2.1,10.0,58.192485675830504
1,0.3,2.1,20.0,57.29343982421528
2,0.3,2.1,30.0,56.41417557457187
3,0.3,2.1,40.0,56.454978451741496
4,0.3,2.1,50.0,56.17503850201794
5,0.1,1.3,50.0,56.899053363009486
6,0.1,1.5,50.0,56.74598186168794
7,0.1,1.7,50.0,56.59608348931188
8,0.1,1.9,50.0,56.46073602094554
9,0.1,2.1,50.0,56.5702165516156
10,0.1,1.9,50.0,56.964111290197906
11,0.3,1.9,50.0,56.543726328721256
12,0.5,1.9,50.0,56.50421547248994
13,0.7,1.9,50.0,55.78122465498872
14,0.9,1.9,50.0,56.39661229089175
