,p_w,p_c,pop_size,Error
0,0.9,2.1,10.0,59.66686517337913
1,0.9,2.1,20.0,57.7835520104892
2,0.9,2.1,30.0,57.365232141379785
3,0.9,2.1,40.0,57.48045544421175
4,0.9,2.1,50.0,57.892804177868975
5,0.5,1.3,30.0,58.100935973723864
6,0.5,1.5,30.0,57.59670344359109
7,0.5,1.7,30.0,58.644166071705286
8,0.5,1.9,30.0,56.94412110307908
9,0.5,2.1,30.0,57.63706345916195
10,0.1,1.9,30.0,57.60435214756166
11,0.3,1.9,30.0,57.5437556485342
12,0.5,1.9,30.0,57.94658814035476
13,0.7,1.9,30.0,58.04457715525578
14,0.9,1.9,30.0,58.0781116346923
