,p_c,p_m,pop_size,Error
0,0.95,0.02,10.0,56.59084943571605
1,0.95,0.02,20.0,56.65454144349171
2,0.95,0.02,30.0,55.397155275533635
3,0.95,0.02,40.0,55.883679820102365
4,0.95,0.02,50.0,50.785770544504295
5,0.75,0.05,50.0,49.30136756232049
6,0.8,0.05,50.0,51.602251786596
7,0.85,0.05,50.0,48.0826050881042
8,0.9,0.05,50.0,49.92252916055933
9,0.95,0.05,50.0,50.54201599509472
10,0.85,0.01,50.0,54.412099255635
11,0.85,0.02,50.0,52.649138424750404
12,0.85,0.03,50.0,50.22962364049729
13,0.85,0.04,50.0,53.31409274292767
14,0.85,0.05,50.0,54.108966289707155
