,p_c,p_m,pop_size,Error
0,0.75,0.02,30.0,7111731.085874804
1,0.8,0.02,30.0,7091355.547838673
2,0.85,0.02,30.0,7146434.144480811
3,0.9,0.02,30.0,7089698.759496535
4,0.95,0.02,30.0,7124847.401908317
5,0.9,0.03,10.0,7131897.764624225
6,0.9,0.03,20.0,7092188.352632468
7,0.9,0.03,30.0,7110904.803181157
8,0.9,0.03,40.0,7024022.246022319
9,0.9,0.03,50.0,7042917.010223084
10,0.9,0.01,40.0,7090169.389420973
11,0.9,0.02,40.0,7088621.55573513
12,0.9,0.03,40.0,7123971.109613192
13,0.9,0.04,40.0,7117140.49937417
14,0.9,0.05,40.0,7078600.552792915
