,p_c,p_m,pop_size,Error
0,0.9,0.03,10.0,7186914.4662354905
1,0.9,0.03,20.0,7166432.478424163
2,0.9,0.03,30.0,7159885.076041764
3,0.9,0.03,40.0,7156664.372637347
4,0.9,0.03,50.0,7152284.259015733
5,0.75,0.04,50.0,7160503.698703023
6,0.8,0.04,50.0,7168616.235100026
7,0.85,0.04,50.0,7168070.816997452
8,0.9,0.04,50.0,7156155.38938648
9,0.95,0.04,50.0,7151687.83471956
10,0.95,0.01,50.0,7171952.867985454
11,0.95,0.02,50.0,7172968.750314708
12,0.95,0.03,50.0,7170050.038643932
13,0.95,0.04,50.0,7135470.246365705
14,0.95,0.05,50.0,7152761.204512525
