,p_c,p_m,pop_size,Error
0,0.85,0.02,10.0,7204434.078078295
1,0.85,0.02,20.0,7189151.001419749
2,0.85,0.02,30.0,7197123.307577787
3,0.85,0.02,40.0,7195067.784875281
4,0.85,0.02,50.0,7165793.270223565
5,0.85,0.01,50.0,7207552.070723997
6,0.85,0.02,50.0,7138766.453690438
7,0.85,0.03,50.0,7181372.503299683
8,0.85,0.04,50.0,7187627.6603802955
9,0.85,0.05,50.0,7175746.9183357665
10,0.75,0.02,50.0,7159496.945201434
11,0.8,0.02,50.0,7187810.530267321
12,0.85,0.02,50.0,7176146.985019761
13,0.9,0.02,50.0,7194877.164990719
14,0.95,0.02,50.0,7199450.699584975
