,p_c,p_m,pop_size,Error
0,0.75,0.02,10,7201887.47168586
1,0.8,0.02,10,7204256.642444445
2,0.85,0.02,10,7195410.447665789
3,0.9,0.02,10,7198853.584955814
4,0.95,0.02,10,7205270.85528764
5,0.85,0.01,50,7195023.244362479
6,0.85,0.02,50,7173447.045805959
7,0.85,0.03,50,7184987.111591499
8,0.85,0.04,50,7153458.728107126
9,0.85,0.05,50,7156787.291900404
10,0.85,0.04,10,7183852.98388213
11,0.85,0.04,20,7147214.717020849
12,0.85,0.04,30,7192686.003794551
13,0.85,0.04,40,7187883.1197174275
14,0.85,0.04,50,7160718.536499306
