,p_w,p_c,pop_size,Error
0,0.1,1.5,40.0,6388381.624479157
1,0.3,1.5,40.0,6395039.217082838
2,0.5,1.5,40.0,6391170.466833441
3,0.7,1.5,40.0,6390418.111952831
4,0.9,1.5,40.0,6398011.710902683
5,0.1,1.9,10.0,6397025.391466655
6,0.1,1.9,20.0,6415947.59369224
7,0.1,1.9,30.0,6415133.809499679
8,0.1,1.9,40.0,6412984.133922973
9,0.1,1.9,50.0,6392564.578063973
10,0.1,1.3,50.0,6321956.672802337
11,0.1,1.5,50.0,6376248.857274532
12,0.1,1.7,50.0,6410161.885213159
13,0.1,1.9,50.0,6404427.20348722
14,0.1,2.1,50.0,6360978.541461633
