,p_c,p_m,pop_size,Error
0,0.85,0.01,10.0,6497087.7077258285
1,0.85,0.02,10.0,6495237.347495943
2,0.85,0.03,10.0,6511005.501692712
3,0.85,0.04,10.0,6488727.303898811
4,0.85,0.05,10.0,6492931.211675531
5,0.75,0.04,10.0,6509052.999678762
6,0.75,0.04,20.0,6481376.083558959
7,0.75,0.04,30.0,6487168.680628192
8,0.75,0.04,40.0,6495920.901885216
9,0.75,0.04,50.0,6498172.831320217
10,0.75,0.04,20.0,6502128.9764413955
11,0.8,0.04,20.0,6494270.793658269
12,0.85,0.04,20.0,6492325.801546651
13,0.9,0.04,20.0,6497810.514700053
14,0.95,0.04,20.0,6494614.711177397
