,p_w,p_c,pop_size,Error
0,0.9,1.3,20.0,6978147.638362957
1,0.9,1.5,20.0,6981505.009925959
2,0.9,1.7,20.0,6977640.276625518
3,0.9,1.9,20.0,6987498.120247005
4,0.9,2.1,20.0,6981889.639392354
5,0.3,1.7,10.0,6972937.9483025195
6,0.3,1.7,20.0,6971542.274264038
7,0.3,1.7,30.0,6978169.976563522
8,0.3,1.7,40.0,6983102.093477002
9,0.3,1.7,50.0,6979051.80862125
10,0.1,1.7,20.0,6981508.417212704
11,0.3,1.7,20.0,6971363.452867037
12,0.5,1.7,20.0,6978313.581608322
13,0.7,1.7,20.0,6972386.563190998
14,0.9,1.7,20.0,6978459.990349332
