,p_c,p_m,pop_size,Error
0,0.95,0.04,10.0,7207245.917905522
1,0.95,0.04,20.0,7217727.409302552
2,0.95,0.04,30.0,7190589.973084966
3,0.95,0.04,40.0,7217030.0585493455
4,0.95,0.04,50.0,7197720.558115017
5,0.75,0.01,30.0,7234531.341147877
6,0.75,0.02,30.0,7224604.278413377
7,0.75,0.03,30.0,7197373.244312541
8,0.75,0.04,30.0,7207799.350804216
9,0.75,0.05,30.0,7220257.746707041
10,0.75,0.03,30.0,7199137.473798526
11,0.8,0.03,30.0,7202266.355922555
12,0.85,0.03,30.0,7224381.764567944
13,0.9,0.03,30.0,7221102.612989822
14,0.95,0.03,30.0,7224629.141681978
