,p_c,p_m,pop_size,Error
0,0.75,0.01,50.0,6970900.970192061
1,0.75,0.02,50.0,6907124.5453311065
2,0.75,0.03,50.0,6891749.82190622
3,0.75,0.04,50.0,6913611.074689189
4,0.75,0.05,50.0,6913264.540798744
5,0.9,0.03,10.0,7025883.107109075
6,0.9,0.03,20.0,6996809.7253646655
7,0.9,0.03,30.0,6948174.40485981
8,0.9,0.03,40.0,6818988.268559247
9,0.9,0.03,50.0,6834911.6600354
10,0.75,0.03,40.0,6923952.314186474
11,0.8,0.03,40.0,6892143.797801764
12,0.85,0.03,40.0,6929257.027817405
13,0.9,0.03,40.0,6936551.577686583
14,0.95,0.03,40.0,6948946.232557446
