,p_c,p_m,pop_size,Error
0,0.75,0.05,30,6913946.255023645
1,0.8,0.05,30,6955973.654026471
2,0.85,0.05,30,6915229.443819808
3,0.9,0.05,30,6948263.2340256
4,0.95,0.05,30,6928998.198557827
5,0.75,0.01,20,6973203.374605441
6,0.75,0.02,20,6960072.652671856
7,0.75,0.03,20,6958103.3211205695
8,0.75,0.04,20,6935977.430765772
9,0.75,0.05,20,6957970.007358147
10,0.75,0.04,10,6973704.138173044
11,0.75,0.04,20,6936681.806429404
12,0.75,0.04,30,6926690.695414068
13,0.75,0.04,40,6915785.367063799
14,0.75,0.04,50,6936071.509621027
