,p_w,p_c,pop_size,Error
0,0.5,1.3,10.0,7309959.926797246
1,0.5,1.5,10.0,7323423.564372809
2,0.5,1.7,10.0,7321642.51000043
3,0.5,1.9,10.0,7313535.908683086
4,0.5,2.1,10.0,7310771.180633388
5,0.9,1.3,10.0,7318089.0431392025
6,0.9,1.3,20.0,7313715.327967956
7,0.9,1.3,30.0,7317575.2544483375
8,0.9,1.3,40.0,7311937.2991093835
9,0.9,1.3,50.0,7317105.898611623
10,0.1,1.3,40.0,7310901.866546619
11,0.3,1.3,40.0,7312096.313832332
12,0.5,1.3,40.0,7313646.312304801
13,0.7,1.3,40.0,7308887.670107068
14,0.9,1.3,40.0,7309527.715045287
